id	provided_identifier
1665376	oai:tms.ycba.yale.edu:10806
1665377	oai:tms.ycba.yale.edu:10809
1665378	oai:tms.ycba.yale.edu:1081
1665379	oai:tms.ycba.yale.edu:10810
1665380	oai:tms.ycba.yale.edu:1082
1665381	oai:tms.ycba.yale.edu:10824
1665382	oai:tms.ycba.yale.edu:10825
1665383	oai:tms.ycba.yale.edu:10826
1665384	oai:tms.ycba.yale.edu:10827
1665385	oai:tms.ycba.yale.edu:10828
1665386	oai:tms.ycba.yale.edu:10829
1665387	oai:tms.ycba.yale.edu:1083
1665388	oai:tms.ycba.yale.edu:10830
1665389	oai:tms.ycba.yale.edu:10831
1665390	oai:tms.ycba.yale.edu:1084
1665391	oai:tms.ycba.yale.edu:10846
1665392	oai:tms.ycba.yale.edu:10847
1665393	oai:tms.ycba.yale.edu:10848
1665394	oai:tms.ycba.yale.edu:10849
1665395	oai:tms.ycba.yale.edu:1085
1665396	oai:tms.ycba.yale.edu:10850
1665397	oai:tms.ycba.yale.edu:10851
1665398	oai:tms.ycba.yale.edu:10852
1665399	oai:tms.ycba.yale.edu:10853
1665400	oai:tms.ycba.yale.edu:10854
1665401	oai:tms.ycba.yale.edu:10855
1665402	oai:tms.ycba.yale.edu:10856
1665403	oai:tms.ycba.yale.edu:10857
1665404	oai:tms.ycba.yale.edu:10858
1665405	oai:tms.ycba.yale.edu:10859
1665406	oai:tms.ycba.yale.edu:1086
1665407	oai:tms.ycba.yale.edu:10860
1665408	oai:tms.ycba.yale.edu:10861
1665409	oai:tms.ycba.yale.edu:10862
1665410	oai:tms.ycba.yale.edu:10863
1665411	oai:tms.ycba.yale.edu:10864
1665412	oai:tms.ycba.yale.edu:10865
1665413	oai:tms.ycba.yale.edu:10866
1665414	oai:tms.ycba.yale.edu:10867
1665415	oai:tms.ycba.yale.edu:10868
1665416	oai:tms.ycba.yale.edu:1087
1665417	oai:tms.ycba.yale.edu:10870
1665418	oai:tms.ycba.yale.edu:10871
1665419	oai:tms.ycba.yale.edu:10872
1665420	oai:tms.ycba.yale.edu:10873
1665421	oai:tms.ycba.yale.edu:10874
1665422	oai:tms.ycba.yale.edu:10875
1665423	oai:tms.ycba.yale.edu:10876
1665424	oai:tms.ycba.yale.edu:10877
1665425	oai:tms.ycba.yale.edu:1088
1665426	oai:tms.ycba.yale.edu:1089
1665427	oai:tms.ycba.yale.edu:10895
1665428	oai:tms.ycba.yale.edu:10896
1665429	oai:tms.ycba.yale.edu:10897
1665430	oai:tms.ycba.yale.edu:10898
1665431	oai:tms.ycba.yale.edu:10899
1665432	oai:tms.ycba.yale.edu:109
1665433	oai:tms.ycba.yale.edu:1090
1665434	oai:tms.ycba.yale.edu:10900
1665435	oai:tms.ycba.yale.edu:10901
1665436	oai:tms.ycba.yale.edu:10902
1665437	oai:tms.ycba.yale.edu:10903
1665438	oai:tms.ycba.yale.edu:10906
1665439	oai:tms.ycba.yale.edu:10907
1665440	oai:tms.ycba.yale.edu:10908
1665441	oai:tms.ycba.yale.edu:10909
1665442	oai:tms.ycba.yale.edu:1091
1665443	oai:tms.ycba.yale.edu:10910
1665444	oai:tms.ycba.yale.edu:10912
1665445	oai:tms.ycba.yale.edu:10914
1665446	oai:tms.ycba.yale.edu:10915
1665447	oai:tms.ycba.yale.edu:1092
1665448	oai:tms.ycba.yale.edu:10929
1665449	oai:tms.ycba.yale.edu:1093
1665450	oai:tms.ycba.yale.edu:10930
1665451	oai:tms.ycba.yale.edu:10931
1665452	oai:tms.ycba.yale.edu:10932
1665453	oai:tms.ycba.yale.edu:10933
1665454	oai:tms.ycba.yale.edu:10934
1665455	oai:tms.ycba.yale.edu:10935
1665456	oai:tms.ycba.yale.edu:10936
1665457	oai:tms.ycba.yale.edu:10937
1665458	oai:tms.ycba.yale.edu:10938
1665459	oai:tms.ycba.yale.edu:10939
1665460	oai:tms.ycba.yale.edu:1094
1665461	oai:tms.ycba.yale.edu:10944
1665462	oai:tms.ycba.yale.edu:10945
1665463	oai:tms.ycba.yale.edu:10948
1665464	oai:tms.ycba.yale.edu:1095
1665465	oai:tms.ycba.yale.edu:10959
1665466	oai:tms.ycba.yale.edu:1096
1665467	oai:tms.ycba.yale.edu:10961
1665468	oai:tms.ycba.yale.edu:10965
1665469	oai:tms.ycba.yale.edu:1097
1665470	oai:tms.ycba.yale.edu:1098
1665471	oai:tms.ycba.yale.edu:1099
1665472	oai:tms.ycba.yale.edu:1100
1665473	oai:tms.ycba.yale.edu:1101
1665474	oai:tms.ycba.yale.edu:1102
1665475	oai:tms.ycba.yale.edu:11028
1665476	oai:tms.ycba.yale.edu:11029
1665477	oai:tms.ycba.yale.edu:1103
1665478	oai:tms.ycba.yale.edu:11030
1665479	oai:tms.ycba.yale.edu:11031
1665480	oai:tms.ycba.yale.edu:11032
1665481	oai:tms.ycba.yale.edu:11033
1665482	oai:tms.ycba.yale.edu:11034
1665483	oai:tms.ycba.yale.edu:11035
1665484	oai:tms.ycba.yale.edu:11036
1665485	oai:tms.ycba.yale.edu:11037
1665486	oai:tms.ycba.yale.edu:11038
1665487	oai:tms.ycba.yale.edu:11039
1665488	oai:tms.ycba.yale.edu:1104
1665489	oai:tms.ycba.yale.edu:11040
1665490	oai:tms.ycba.yale.edu:11041
1665491	oai:tms.ycba.yale.edu:11042
1665492	oai:tms.ycba.yale.edu:11043
1665493	oai:tms.ycba.yale.edu:11044
1665494	oai:tms.ycba.yale.edu:11045
1665495	oai:tms.ycba.yale.edu:11046
1665496	oai:tms.ycba.yale.edu:11047
1665497	oai:tms.ycba.yale.edu:11048
1665498	oai:tms.ycba.yale.edu:11049
1665499	oai:tms.ycba.yale.edu:1105
1665500	oai:tms.ycba.yale.edu:11050
1665501	oai:tms.ycba.yale.edu:11051
1665502	oai:tms.ycba.yale.edu:11052
1665503	oai:tms.ycba.yale.edu:11053
1665504	oai:tms.ycba.yale.edu:1106
1665505	oai:tms.ycba.yale.edu:11062
1665506	oai:tms.ycba.yale.edu:11063
1665507	oai:tms.ycba.yale.edu:11064
1665508	oai:tms.ycba.yale.edu:11065
1665509	oai:tms.ycba.yale.edu:11066
1665510	oai:tms.ycba.yale.edu:11067
1665511	oai:tms.ycba.yale.edu:11068
1665512	oai:tms.ycba.yale.edu:11069
1665513	oai:tms.ycba.yale.edu:1107
1665514	oai:tms.ycba.yale.edu:11070
1665515	oai:tms.ycba.yale.edu:11071
1665516	oai:tms.ycba.yale.edu:1108
1665517	oai:tms.ycba.yale.edu:11088
1665518	oai:tms.ycba.yale.edu:11089
1665519	oai:tms.ycba.yale.edu:1109
1665520	oai:tms.ycba.yale.edu:1110
1665521	oai:tms.ycba.yale.edu:1111
1665522	oai:tms.ycba.yale.edu:1112
1665523	oai:tms.ycba.yale.edu:1113
1665524	oai:tms.ycba.yale.edu:1114
1665525	oai:tms.ycba.yale.edu:11148
1665526	oai:tms.ycba.yale.edu:11149
1665527	oai:tms.ycba.yale.edu:1115
1665528	oai:tms.ycba.yale.edu:11150
1665529	oai:tms.ycba.yale.edu:11151
1665530	oai:tms.ycba.yale.edu:11152
1665531	oai:tms.ycba.yale.edu:11153
1665532	oai:tms.ycba.yale.edu:11154
1665533	oai:tms.ycba.yale.edu:1116
1665534	oai:tms.ycba.yale.edu:1117
1665535	oai:tms.ycba.yale.edu:11176
1665536	oai:tms.ycba.yale.edu:11177
1665537	oai:tms.ycba.yale.edu:11178
1665538	oai:tms.ycba.yale.edu:11179
1665539	oai:tms.ycba.yale.edu:1118
1665540	oai:tms.ycba.yale.edu:11180
1665541	oai:tms.ycba.yale.edu:1119
1665542	oai:tms.ycba.yale.edu:112
1665543	oai:tms.ycba.yale.edu:1120
1665544	oai:tms.ycba.yale.edu:11200
1665545	oai:tms.ycba.yale.edu:1121
1665546	oai:tms.ycba.yale.edu:1122
1665547	oai:tms.ycba.yale.edu:11227
1665548	oai:tms.ycba.yale.edu:1123
1665549	oai:tms.ycba.yale.edu:1124
1665550	oai:tms.ycba.yale.edu:1125
1665551	oai:tms.ycba.yale.edu:1126
1665552	oai:tms.ycba.yale.edu:1127
1665553	oai:tms.ycba.yale.edu:1128
1665554	oai:tms.ycba.yale.edu:11285
1665555	oai:tms.ycba.yale.edu:11287
1665556	oai:tms.ycba.yale.edu:1129
1665557	oai:tms.ycba.yale.edu:11293
1665558	oai:tms.ycba.yale.edu:113
1665559	oai:tms.ycba.yale.edu:1130
1665560	oai:tms.ycba.yale.edu:11307
1665561	oai:tms.ycba.yale.edu:1131
1665562	oai:tms.ycba.yale.edu:1132
1665563	oai:tms.ycba.yale.edu:1133
1665564	oai:tms.ycba.yale.edu:1134
1665565	oai:tms.ycba.yale.edu:11346
1665566	oai:tms.ycba.yale.edu:1135
1665567	oai:tms.ycba.yale.edu:1136
1665568	oai:tms.ycba.yale.edu:1137
1665569	oai:tms.ycba.yale.edu:1138
1665570	oai:tms.ycba.yale.edu:11388
1665571	oai:tms.ycba.yale.edu:11389
1665572	oai:tms.ycba.yale.edu:1139
1665573	oai:tms.ycba.yale.edu:11390
1665574	oai:tms.ycba.yale.edu:11391
1665575	oai:tms.ycba.yale.edu:11392
1665576	oai:tms.ycba.yale.edu:11393
1665577	oai:tms.ycba.yale.edu:11394
1665578	oai:tms.ycba.yale.edu:11395
1665579	oai:tms.ycba.yale.edu:11396
1665580	oai:tms.ycba.yale.edu:11397
1665581	oai:tms.ycba.yale.edu:1140
1665582	oai:tms.ycba.yale.edu:1141
1665583	oai:tms.ycba.yale.edu:1142
1665584	oai:tms.ycba.yale.edu:11423
1665585	oai:tms.ycba.yale.edu:1143
1665586	oai:tms.ycba.yale.edu:1144
1665587	oai:tms.ycba.yale.edu:1145
1665588	oai:tms.ycba.yale.edu:1148
1665589	oai:tms.ycba.yale.edu:1149
1665590	oai:tms.ycba.yale.edu:11494
1665591	oai:tms.ycba.yale.edu:11495
1665592	oai:tms.ycba.yale.edu:1150
1665593	oai:tms.ycba.yale.edu:1151
1665594	oai:tms.ycba.yale.edu:1152
1665595	oai:tms.ycba.yale.edu:1153
1665596	oai:tms.ycba.yale.edu:1154
1665597	oai:tms.ycba.yale.edu:1155
1665598	oai:tms.ycba.yale.edu:11550
1665599	oai:tms.ycba.yale.edu:1156
1665600	oai:tms.ycba.yale.edu:11561
1665601	oai:tms.ycba.yale.edu:11562
1665602	oai:tms.ycba.yale.edu:11563
1665603	oai:tms.ycba.yale.edu:11564
1665604	oai:tms.ycba.yale.edu:11565
1665605	oai:tms.ycba.yale.edu:11566
1665606	oai:tms.ycba.yale.edu:11567
1665607	oai:tms.ycba.yale.edu:11568
1665608	oai:tms.ycba.yale.edu:11569
1665609	oai:tms.ycba.yale.edu:1157
1665610	oai:tms.ycba.yale.edu:11570
1665611	oai:tms.ycba.yale.edu:11571
1665612	oai:tms.ycba.yale.edu:11572
1665613	oai:tms.ycba.yale.edu:11573
1665614	oai:tms.ycba.yale.edu:11574
1665615	oai:tms.ycba.yale.edu:11575
1665616	oai:tms.ycba.yale.edu:11576
1665617	oai:tms.ycba.yale.edu:11577
1665618	oai:tms.ycba.yale.edu:11578
1665619	oai:tms.ycba.yale.edu:11579
1665620	oai:tms.ycba.yale.edu:1158
1665621	oai:tms.ycba.yale.edu:11580
1665622	oai:tms.ycba.yale.edu:11581
1665623	oai:tms.ycba.yale.edu:11582
1665624	oai:tms.ycba.yale.edu:11583
1665625	oai:tms.ycba.yale.edu:11584
1665626	oai:tms.ycba.yale.edu:11585
1665627	oai:tms.ycba.yale.edu:11586
1665628	oai:tms.ycba.yale.edu:11587
1665629	oai:tms.ycba.yale.edu:11588
1665630	oai:tms.ycba.yale.edu:11589
1665631	oai:tms.ycba.yale.edu:1159
1665632	oai:tms.ycba.yale.edu:11590
1665633	oai:tms.ycba.yale.edu:11591
1665634	oai:tms.ycba.yale.edu:11592
1665635	oai:tms.ycba.yale.edu:11593
1665636	oai:tms.ycba.yale.edu:11594
1665637	oai:tms.ycba.yale.edu:11595
1665638	oai:tms.ycba.yale.edu:11596
1665639	oai:tms.ycba.yale.edu:11597
1665640	oai:tms.ycba.yale.edu:11598
1665641	oai:tms.ycba.yale.edu:11599
1665642	oai:tms.ycba.yale.edu:116
1665643	oai:tms.ycba.yale.edu:1160
1665644	oai:tms.ycba.yale.edu:11600
1665645	oai:tms.ycba.yale.edu:11601
1665646	oai:tms.ycba.yale.edu:11602
1665647	oai:tms.ycba.yale.edu:11603
1665648	oai:tms.ycba.yale.edu:11604
1665649	oai:tms.ycba.yale.edu:11605
1665650	oai:tms.ycba.yale.edu:11606
1665651	oai:tms.ycba.yale.edu:11607
1665652	oai:tms.ycba.yale.edu:11608
1665653	oai:tms.ycba.yale.edu:11609
1665654	oai:tms.ycba.yale.edu:1161
1665655	oai:tms.ycba.yale.edu:11610
1665656	oai:tms.ycba.yale.edu:11611
1665657	oai:tms.ycba.yale.edu:11612
1665658	oai:tms.ycba.yale.edu:11613
1665659	oai:tms.ycba.yale.edu:11614
1665660	oai:tms.ycba.yale.edu:11615
1665661	oai:tms.ycba.yale.edu:11616
1665662	oai:tms.ycba.yale.edu:11617
1665663	oai:tms.ycba.yale.edu:11618
1665664	oai:tms.ycba.yale.edu:11619
1665665	oai:tms.ycba.yale.edu:1162
1665666	oai:tms.ycba.yale.edu:11620
1665667	oai:tms.ycba.yale.edu:11622
1665668	oai:tms.ycba.yale.edu:11623
1665669	oai:tms.ycba.yale.edu:11624
1665670	oai:tms.ycba.yale.edu:11625
1665671	oai:tms.ycba.yale.edu:11626
1665672	oai:tms.ycba.yale.edu:11627
1665673	oai:tms.ycba.yale.edu:11628
1665674	oai:tms.ycba.yale.edu:11629
1665675	oai:tms.ycba.yale.edu:1163
1665676	oai:tms.ycba.yale.edu:11630
1665677	oai:tms.ycba.yale.edu:11631
1665678	oai:tms.ycba.yale.edu:11632
1665679	oai:tms.ycba.yale.edu:11633
1665680	oai:tms.ycba.yale.edu:11634
1665681	oai:tms.ycba.yale.edu:11635
1665682	oai:tms.ycba.yale.edu:11636
1665683	oai:tms.ycba.yale.edu:11637
1665684	oai:tms.ycba.yale.edu:11638
1665685	oai:tms.ycba.yale.edu:11639
1665686	oai:tms.ycba.yale.edu:1164
1665687	oai:tms.ycba.yale.edu:11640
1665688	oai:tms.ycba.yale.edu:11641
1665689	oai:tms.ycba.yale.edu:11642
1665690	oai:tms.ycba.yale.edu:11643
1665691	oai:tms.ycba.yale.edu:11644
1665692	oai:tms.ycba.yale.edu:11645
1665693	oai:tms.ycba.yale.edu:11646
1665694	oai:tms.ycba.yale.edu:11647
1665695	oai:tms.ycba.yale.edu:11648
1665696	oai:tms.ycba.yale.edu:11649
1665697	oai:tms.ycba.yale.edu:1165
1665698	oai:tms.ycba.yale.edu:11650
1665699	oai:tms.ycba.yale.edu:11651
1665700	oai:tms.ycba.yale.edu:11652
1665701	oai:tms.ycba.yale.edu:11653
1665702	oai:tms.ycba.yale.edu:11654
1665703	oai:tms.ycba.yale.edu:11655
1665704	oai:tms.ycba.yale.edu:11656
1665705	oai:tms.ycba.yale.edu:11657
1665706	oai:tms.ycba.yale.edu:1166
1665707	oai:tms.ycba.yale.edu:11661
1665708	oai:tms.ycba.yale.edu:11662
1665709	oai:tms.ycba.yale.edu:11663
1665710	oai:tms.ycba.yale.edu:11664
1665711	oai:tms.ycba.yale.edu:1167
1665712	oai:tms.ycba.yale.edu:1168
1665713	oai:tms.ycba.yale.edu:1169
1665714	oai:tms.ycba.yale.edu:117
1665715	oai:tms.ycba.yale.edu:1170
1665716	oai:tms.ycba.yale.edu:1171
1665717	oai:tms.ycba.yale.edu:1172
1665718	oai:tms.ycba.yale.edu:1173
1665719	oai:tms.ycba.yale.edu:1174
1665720	oai:tms.ycba.yale.edu:1175
1665721	oai:tms.ycba.yale.edu:1176
1665722	oai:tms.ycba.yale.edu:1177
1665723	oai:tms.ycba.yale.edu:1178
1665724	oai:tms.ycba.yale.edu:1179
1665725	oai:tms.ycba.yale.edu:118
1665726	oai:tms.ycba.yale.edu:1180
1665727	oai:tms.ycba.yale.edu:1181
1665728	oai:tms.ycba.yale.edu:1182
1665729	oai:tms.ycba.yale.edu:1183
1665730	oai:tms.ycba.yale.edu:1184
1665731	oai:tms.ycba.yale.edu:1185
1665732	oai:tms.ycba.yale.edu:1186
1665733	oai:tms.ycba.yale.edu:1187
1665734	oai:tms.ycba.yale.edu:1188
1665735	oai:tms.ycba.yale.edu:1189
1665736	oai:tms.ycba.yale.edu:119
1665737	oai:tms.ycba.yale.edu:1190
1665738	oai:tms.ycba.yale.edu:1191
1665739	oai:tms.ycba.yale.edu:1192
1665740	oai:tms.ycba.yale.edu:1193
1665741	oai:tms.ycba.yale.edu:1194
1665742	oai:tms.ycba.yale.edu:1195
1665743	oai:tms.ycba.yale.edu:1196
1665744	oai:tms.ycba.yale.edu:1197
1665745	oai:tms.ycba.yale.edu:1198
1665746	oai:tms.ycba.yale.edu:1199
1665747	oai:tms.ycba.yale.edu:120
1665748	oai:tms.ycba.yale.edu:1200
1665749	oai:tms.ycba.yale.edu:1201
1665750	oai:tms.ycba.yale.edu:1202
1665751	oai:tms.ycba.yale.edu:12021
1665752	oai:tms.ycba.yale.edu:1203
1665753	oai:tms.ycba.yale.edu:12038
1665754	oai:tms.ycba.yale.edu:1204
1665755	oai:tms.ycba.yale.edu:12046
1665756	oai:tms.ycba.yale.edu:1205
1665757	oai:tms.ycba.yale.edu:1206
1665758	oai:tms.ycba.yale.edu:1207
1665759	oai:tms.ycba.yale.edu:12072
1665760	oai:tms.ycba.yale.edu:1208
1665761	oai:tms.ycba.yale.edu:1209
