id	provided_identifier
1672143	oai:orbis.library.yale.edu:579143
1672144	oai:orbis.library.yale.edu:579144
1672145	oai:orbis.library.yale.edu:579147
1672146	oai:orbis.library.yale.edu:579151
1672147	oai:orbis.library.yale.edu:579158
1672148	oai:orbis.library.yale.edu:579182
1672149	oai:orbis.library.yale.edu:579222
1672150	oai:orbis.library.yale.edu:579224
1672151	oai:orbis.library.yale.edu:579234
1672152	oai:orbis.library.yale.edu:579236
1672153	oai:orbis.library.yale.edu:579241
1672154	oai:orbis.library.yale.edu:579251
1672155	oai:orbis.library.yale.edu:579262
1672156	oai:orbis.library.yale.edu:579266
1672157	oai:orbis.library.yale.edu:579271
1672158	oai:orbis.library.yale.edu:579281
1672159	oai:orbis.library.yale.edu:579289
1672160	oai:orbis.library.yale.edu:579299
1672161	oai:orbis.library.yale.edu:579342
1672162	oai:orbis.library.yale.edu:579343
1672163	oai:orbis.library.yale.edu:579358
1672164	oai:orbis.library.yale.edu:579359
1672165	oai:orbis.library.yale.edu:579382
1672166	oai:orbis.library.yale.edu:579405
1672167	oai:orbis.library.yale.edu:579411
1672168	oai:orbis.library.yale.edu:579432
1672169	oai:orbis.library.yale.edu:579445
1672170	oai:orbis.library.yale.edu:579450
1672171	oai:orbis.library.yale.edu:579452
1672172	oai:orbis.library.yale.edu:579463
1672173	oai:orbis.library.yale.edu:579499
1672174	oai:orbis.library.yale.edu:579517
1672175	oai:orbis.library.yale.edu:579521
1672176	oai:orbis.library.yale.edu:579525
1672177	oai:orbis.library.yale.edu:579548
1672178	oai:orbis.library.yale.edu:579550
1672179	oai:orbis.library.yale.edu:579628
1672180	oai:orbis.library.yale.edu:579633
1672181	oai:orbis.library.yale.edu:579663
1672182	oai:orbis.library.yale.edu:579665
1672183	oai:orbis.library.yale.edu:579685
1672184	oai:orbis.library.yale.edu:579707
1672185	oai:orbis.library.yale.edu:579712
1672186	oai:orbis.library.yale.edu:579724
1672187	oai:orbis.library.yale.edu:579743
1672188	oai:orbis.library.yale.edu:579752
1672189	oai:orbis.library.yale.edu:579755
1672190	oai:orbis.library.yale.edu:579758
1672191	oai:orbis.library.yale.edu:579761
1672192	oai:orbis.library.yale.edu:579776
1672193	oai:orbis.library.yale.edu:579783
1672194	oai:orbis.library.yale.edu:579810
1672195	oai:orbis.library.yale.edu:579884
1672196	oai:orbis.library.yale.edu:579885
1672197	oai:orbis.library.yale.edu:579907
1672198	oai:orbis.library.yale.edu:579929
1672199	oai:orbis.library.yale.edu:579939
1672200	oai:orbis.library.yale.edu:579941
1672201	oai:orbis.library.yale.edu:580003
1672202	oai:orbis.library.yale.edu:580004
1672203	oai:orbis.library.yale.edu:580022
1672204	oai:orbis.library.yale.edu:580053
1672205	oai:orbis.library.yale.edu:580054
1672206	oai:orbis.library.yale.edu:580066
1672207	oai:orbis.library.yale.edu:580079
1672208	oai:orbis.library.yale.edu:580117
1672209	oai:orbis.library.yale.edu:580121
1672210	oai:orbis.library.yale.edu:580132
1672211	oai:orbis.library.yale.edu:580146
1672212	oai:orbis.library.yale.edu:580162
1672213	oai:orbis.library.yale.edu:580198
1672214	oai:orbis.library.yale.edu:580205
1672215	oai:orbis.library.yale.edu:580212
1672216	oai:orbis.library.yale.edu:580215
1672217	oai:orbis.library.yale.edu:580218
1672218	oai:orbis.library.yale.edu:580248
1672219	oai:orbis.library.yale.edu:580256
1672220	oai:orbis.library.yale.edu:580301
1672221	oai:orbis.library.yale.edu:580383
1672222	oai:orbis.library.yale.edu:580401
1672223	oai:orbis.library.yale.edu:580417
1672224	oai:orbis.library.yale.edu:580493
1672225	oai:orbis.library.yale.edu:580496
1672226	oai:orbis.library.yale.edu:580588
1672227	oai:orbis.library.yale.edu:580602
1672228	oai:orbis.library.yale.edu:580607
1672229	oai:orbis.library.yale.edu:580610
1672230	oai:orbis.library.yale.edu:580611
